Price,City,District,Neighborhood,Average Price,Listing Number,Listing Update Date,Category,Net Square Meters,Number of Rooms,Floor,Heating Type,Deposit,Number of Bathrooms,Listing Creation Date,Type,Kind,Gross Square Meters,Building Age,Number of Building Floors,Usage Status,Within Site,Price Status,Structure Status,Furnishing Status,Balcony Status,Building Type,Number of WCs,Swap,Bathroom Square Meters,Living Room Square Meters,WC Square Meters,Virtual Tour Available?,Maintenance Fee,Balcony Type,Number of Balconies,Balcony Square Meters
26000TL,İstanbul,Üsküdar,Ferah Mahallesi,19680.0,15770446,29 Ağustos 2024,Kiralık,63 m²,2+1,Yüksek Giriş,Kombi Doğalgaz,26000 TL,1,26 Ağustos 2024,Konut,Daire,80 m²,0 (Yeni),4,Boş,Hayır,Genel Fiyat,Sıfır,Boş,Var,Betonarme,,Yok,,,,,150 TL,,1,
30000TL,İstanbul,Küçükçekmece,Atakent Mahallesi,23577.0,15770396,26 Ağustos 2024,Kiralık,65 m²,1+1,2.Kat,Merkezi (Pay Ölçer),60000 TL,1,26 Ağustos 2024,Konut,Daire,87 m²,11-15,7,Boş,Evet,Genel Fiyat,,Eşyalı,Var,,1,Yok,,,,,3674 TL,,,
25000TL,İstanbul,Bahçelievler,Zafer Mahallesi,23100.0,15770380,29 Ağustos 2024,Kiralık,140 m²,4+1,Çatı Dubleks,Kombi Doğalgaz,25000 TL,2,26 Ağustos 2024,Konut,Daire,150 m²,11-15,4,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
30000TL,İstanbul,Kartal,Orhantepe Mahallesi,20700.0,15770371,29 Ağustos 2024,Kiralık,70 m²,2+1,5.Kat,Kombi Doğalgaz,,1,26 Ağustos 2024,Konut,Daire,90 m²,4,9,Boş,Hayır,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
12000TL,İstanbul,Avcılar,Cihangir Mahallesi,7755.0,15770350,28 Ağustos 2024,Kiralık,50 m²,2+1,Yüksek Giriş,Kombi Doğalgaz,,1,26 Ağustos 2024,Konut,Daire,55 m²,5-10,3,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
25000TL,İstanbul,Bahçelievler,Bahçelievler Mahallesi,25200.0,15770306,26 Ağustos 2024,Kiralık,90 m²,2+1,1.Kat,Merkezi Doğalgaz,,1,26 Ağustos 2024,Konut,Daire,100 m²,21 Ve Üzeri,4,Boş,Hayır,Genel Fiyat,,Eşyalı,Var,Betonarme,,,,,,,,Kapalı Balkon,1,
17000TL,İstanbul,Sultangazi,Malkoçoğlu Mahallesi,14805.0,15770257,28 Ağustos 2024,Kiralık,95 m²,2+1,Düz Giriş (Zemin),Kombi Doğalgaz,,1,26 Ağustos 2024,Konut,Daire,105 m²,11-15,5,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
17000arrow_downward%6TL,İstanbul,Sancaktepe,Merve Mahallesi,18240.0,15770247,27 Ağustos 2024,Kiralık,110 m²,2+1,1.Kat,Kombi Doğalgaz,17000 TL,2,26 Ağustos 2024,Konut,Daire,120 m²,11-15,2,Boş,Hayır,Birim Fiyat,,Boş,Var,,2,,,,,,,,,
13000TL,İstanbul,Esenyurt,Piri Reis Mahallesi,10725.0,15770216,27 Ağustos 2024,Kiralık,65 m²,1+1,1.Kat,Merkezi Doğalgaz,,1,26 Ağustos 2024,Konut,Daire,75 m²,5-10,10,Boş,Evet,Genel Fiyat,,,,,,,,,,,,,,
30000TL,İstanbul,Ümraniye,Armağanevler Mahallesi,18615.0,15770175,30 Ağustos 2024,Kiralık,80 m²,2+1,2.Kat,Kombi Doğalgaz,45000 TL,2,26 Ağustos 2024,Konut,Daire,85 m²,5-10,5,Boş,Hayır,Genel Fiyat,İkinci El,Boş,Var,Betonarme,1,Yok,5 m²,22 m²,5 m²,,200 TL,Fransız Balkon,2,4 m²
29000TL,İstanbul,Maltepe,Bağlarbaşı Mahallesi,18320.0,15770174,26 Ağustos 2024,Kiralık,70 m²,2+1,2.Kat,Kombi Doğalgaz,,1,26 Ağustos 2024,Konut,Daire,80 m²,1,6,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
18499TL,İstanbul,Pendik,Yenişehir Mahallesi,21165.0,15770103,26 Ağustos 2024,Kiralık,75 m²,2+1,2.Kat,Kombi Doğalgaz,,1,26 Ağustos 2024,Konut,Daire,85 m²,21 Ve Üzeri,4,Boş,Evet,Genel Fiyat,,,,,,,,,,,,,,
75000TL,İstanbul,Kadıköy,Suadiye Mahallesi,66825.0,15770099,26 Ağustos 2024,Kiralık,130 m²,3+1,4.Kat,Merkezi (Pay Ölçer),150000 TL,2,26 Ağustos 2024,Konut,Daire,135 m²,5-10,11,Boş,Hayır,Genel Fiyat,İkinci El,,Var,Betonarme,2,Yok,2 m²,30 m²,,Evet,2250 TL,Açık Balkon,2,2 m²
20000TL,İstanbul,Arnavutköy,Arnavutköy Merkez Mahallesi,16500.0,15769991,26 Ağustos 2024,Kiralık,100 m²,2+1,1.Kat,Kombi Doğalgaz,,1,26 Ağustos 2024,Konut,Daire,110 m²,4,4,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
35000TL,İstanbul,Maltepe,Altıntepe Mahallesi,23840.0,15769986,26 Ağustos 2024,Kiralık,70 m²,2+1,Düz Giriş (Zemin),Kombi Doğalgaz,,1,26 Ağustos 2024,Konut,Daire,80 m²,5-10,4,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
13000TL,İstanbul,Esenyurt,Necip Fazıl Kısakürek Mahallesi,13125.0,15769982,26 Ağustos 2024,Kiralık,110 m²,2+1,18.Kat,Merkezi Doğalgaz,,2,26 Ağustos 2024,Konut,Daire,125 m²,11-15,31,Boş,Evet,Genel Fiyat,,,,,,,,,,,,,,
32000TL,İstanbul,Üsküdar,Mimar Sinan Mahallesi,24055.0,15769959,26 Ağustos 2024,Kiralık,80 m²,2+1,1.Kat,Kombi Doğalgaz,32000 TL,1,26 Ağustos 2024,Konut,Daire,85 m²,21 Ve Üzeri,4,Boş,Hayır,Genel Fiyat,,Eşyalı,Var,Betonarme,Yok,,,,,Evet,100 TL,Kapalı Balkon,1,4 m²
12500TL,İstanbul,Gaziosmanpaşa,Fevzi Çakmak Mahallesi,21000.0,15769914,26 Ağustos 2024,Kiralık,85 m²,1+1,Bodrum Kat,Doğalgaz Sobalı,,1,26 Ağustos 2024,Konut,Daire,105 m²,21 Ve Üzeri,4,Boş,Hayır,Genel Fiyat,,,,,,Yok,,,,,,,,
